Tamanho Vetor,Métrica,Merge Sort,Counting Sort
1000,Tempo (ms),0.6,5.4
1000,Iterações,8722.4,1002000.0
1000,Trocas/Mov,19952.0,2000.0
10000,Tempo (ms),1.0,3.2
10000,Iterações,120458.2,1020000.0
10000,Trocas/Mov,267232.0,20000.0
100000,Tempo (ms),13.6,2.2
100000,Iterações,1536281.4,1200000.0
100000,Trocas/Mov,3337856.0,200000.0
500000,Tempo (ms),74.8,7.2
500000,Iterações,8836864.6,2000000.0
500000,Trocas/Mov,18951424.0,1000000.0
1000000,Tempo (ms),140.4,16.6
1000000,Iterações,18674178.6,3000000.0
1000000,Trocas/Mov,39902848.0,2000000.0
